This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  2.4394800e+01 1.64e-04 9.74e+00  -3.8 5.09e-01    -  2.53e-01 3.45e-01h  1
  48  2.3713998e+01 1.77e-04 6.83e+00  -3.8 1.57e+00  -1.3 2.39e-01 2.90e-01h  1
  49  2.3678250e+01 1.76e-04 6.86e+00  -3.8 2.28e+00  -0.9 6.25e-02 1.23e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.3516418e+01 1.56e-04 6.15e+00  -3.8 3.64e-01    -  3.60e-01 1.11e-01h  1
  51  2.3350778e+01 1.44e-04 5.40e+00  -3.8 1.35e+00    -  8.97e-02 1.17e-01h  1
  52  2.2795209e+01 1.73e-04 3.21e+00  -3.8 1.20e+00  -1.4 4.38e-01 4.10e-01h  1
  53  2.2792809e+01 1.73e-04 3.23e+00  -3.8 8.73e-01  -0.9 4.66e-02 1.68e-03h  1
  54  2.2390527e+01 2.94e-04 1.40e+00  -3.8 1.46e+00    -  6.34e-02 4.88e-01h  1
  55  2.2389596e+01 2.93e-04 1.56e+00  -3.8 2.44e+00    -  1.37e-01 8.27e-04h  1
  56  2.2111309e+01 8.10e-05 4.19e-01  -3.8 8.78e-02    -  5.58e-01 7.24e-01h  1
  57  2.2043162e+01 4.26e-05 2.08e-01  -3.8 2.06e-01    -  4.51e-01 4.95e-01h  1
  58  2.1873568e+01 6.96e-05 5.27e-01  -3.8 8.61e-01    -  1.95e-01 6.55e-01H  1
  59  2.1872724e+01 8.91e-06 8.78e-02  -3.8 8.19e-02    -  8.71e-01 9.26e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.1841544e+01 2.82e-05 7.07e-02  -3.8 3.20e-01    -  2.63e-01 2.42e-01h  1
  61  2.1672942e+01 2.74e-05 6.97e-01  -3.8 7.27e-01    -  1.51e-01 8.59e-01H  1
  62  2.1720270e+01 1.23e-05 2.99e-01  -3.8 1.22e-01    -  7.57e-01 1.00e+00h  1
  63  2.1683522e+01 2.30e-05 2.17e-01  -3.8 4.51e-01    -  2.74e-01 2.74e-01h  1
  64  2.1637300e+01 3.18e-05 2.02e-01  -3.8 2.41e-01    -  4.95e-01 1.00e+00h  1
  65  2.1580680e+01 3.18e-05 8.35e-02  -3.8 3.03e-01  -1.4 5.63e-01 5.39e-01h  1
  66  2.1509729e+01 2.80e-05 1.89e-02  -3.8 1.76e-01  -1.0 1.00e+00 1.00e+00h  1
  67  2.1451981e+01 2.07e-05 2.37e-02  -3.8 8.30e-02  -0.6 1.00e+00 1.00e+00h  1
  68  2.1443847e+01 2.08e-05 1.81e-01  -3.8 5.72e-01  -1.0 2.38e-01 2.32e-02h  1
  69  2.1379797e+01 2.78e-06 5.03e-01  -3.8 5.58e-01    -  2.64e-01 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.1343527e+01 7.10e-06 3.17e-01  -3.8 2.19e+00  -1.5 7.95e-02 4.31e-02h  1
