This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    23696
Number of nonzeros in Lagrangian Hessian.............:    10560

Total number of variables............................:     7150
                     variables with only lower bounds:     3520
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7040
Total number of inequality constraints...............:      880
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      880

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.8460515e+01 3.23e-05 2.55e+01  -3.8 3.21e-01  -0.1 1.18e-01 5.20e-01h  1
  48  1.8448624e+01 2.76e-05 2.33e+01  -3.8 1.25e-01   0.3 1.73e-01 1.83e-01h  1
  49  1.8430236e+01 5.96e-06 1.86e+00  -3.8 4.92e-02   0.7 8.93e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.8364123e+01 9.76e-05 1.42e+01  -3.8 2.43e-01   0.2 3.28e-01 6.20e-01h  1
  51  1.8363492e+01 9.74e-05 1.74e+01  -3.8 5.95e-01  -0.2 3.41e-01 2.41e-03h  1
  52  1.8271087e+01 1.13e-04 1.21e+01  -3.8 2.33e+00  -0.7 1.90e-02 1.49e-01h  1
  53  1.8247525e+01 1.09e-04 1.47e+01  -3.8 1.13e+00  -0.3 1.87e-02 4.67e-02h  1
  54  1.8220270e+01 8.40e-05 2.54e+01  -3.8 1.65e-01   0.1 1.91e-01 2.36e-01h  1
  55  1.8188701e+01 3.27e-05 7.56e+01  -3.8 7.41e-02   0.6 2.17e-01 6.22e-01h  1
  56  1.8160536e+01 3.67e-05 6.97e+01  -3.8 6.75e-01   0.1 8.37e-02 7.75e-02h  1
  57  1.8075135e+01 5.87e-05 2.00e+01  -3.8 5.37e-01  -0.4 3.19e-01 6.86e-01h  1
  58  1.8016861e+01 7.15e-05 1.96e+01  -3.8 9.84e+00  -0.9 1.84e-02 1.87e-02h  1
  59  1.8005894e+01 7.12e-05 1.93e+01  -3.8 1.30e+00  -0.4 1.70e-02 1.83e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.7987725e+01 6.72e-05 1.83e+01  -3.8 3.54e+00    -  5.53e-02 5.11e-02h  1
  61  1.7966408e+01 6.79e-05 1.79e+01  -3.8 4.33e+00    -  1.32e-02 1.47e-02h  1
  62  1.7939515e+01 6.76e-05 4.49e+01  -3.8 3.53e+00    -  9.15e-03 2.56e-02h  1
  63  1.7909204e+01 6.86e-05 7.27e+01  -3.8 7.55e+00    -  8.99e-03 1.42e-02h  1
  64  1.7828912e+01 8.11e-05 7.20e+01  -3.8 6.00e+00  -0.9 1.13e-02 5.11e-02h  1
  65  1.7803753e+01 7.57e-05 6.69e+01  -3.8 1.01e+00  -0.5 1.81e-01 7.88e-02h  1
  66  1.7798533e+01 5.95e-05 5.12e+01  -3.8 8.10e-01    -  5.90e-02 2.13e-01h  1
  67  1.7791519e+01 5.78e-05 4.96e+01  -3.8 3.77e-01    -  4.18e-02 3.14e-02h  1
  68  1.7756107e+01 5.88e-05 4.92e+01  -3.8 1.16e+01    -  3.58e-03 1.15e-02h  1
  69  1.7726199e+01 5.74e-05 4.71e+01  -3.8 2.53e+00  -1.0 6.84e-02 3.92e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.7706608e+01 5.66e-05 4.54e+01  -3.8 2.85e+00    -  1.36e-02 2.08e-02h  1
  71  1.7685464e+01 5.28e-05 4.31e+01  -3.8 8.14e-01    -  3.93e-02 7.13e-02h  1
  72  1.7665764e+01 5.21e-05 7.92e+01  -3.8 3.23e+00    -  9.64e-03 2.00e-02h  1
  73  1.7599966e+01 4.66e-05 5.73e+01  -3.8 1.18e+00  -0.5 3.57e-02 2.13e-01h  1
  74  1.7599748e+01 4.64e-05 6.03e+01  -3.8 1.64e-01    -  3.03e-01 5.04e-03h  1
  75  1.7555935e+01 4.02e-05 2.78e+01  -3.8 1.85e-01    -  3.51e-02 1.00e+00h  1
  76  1.7521272e+01 4.42e-05 2.67e+01  -3.8 3.22e+00  -1.0 5.47e-02 3.74e-02h  1
  77  1.7493444e+01 4.76e-05 2.67e+01  -3.8 7.91e+01  -1.5 2.22e-03 1.11e-03h  1
  78  1.7472786e+01 4.84e-05 2.61e+01  -3.8 2.73e+00    -  2.76e-02 2.17e-02h  1
  79  1.7436891e+01 5.24e-05 7.13e+01  -3.8 2.46e+00    -  8.76e-03 4.40e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.7396836e+01 5.91e-05 1.03e+02  -3.8 5.29e+00  -1.1 1.12e-02 2.58e-02h  1
  81  1.7409928e+01 3.53e-06 2.17e+01  -3.8 5.89e-02    -  1.97e-01 1.00e+00h  1
  82  1.7384615e+01 1.28e-05 2.09e+01  -3.8 1.54e+00  -0.6 1.14e-02 3.36e-02h  1
  83  1.7356594e+01 1.58e-05 2.06e+01  -3.8 7.01e+00  -1.1 1.68e-02 1.62e-02h  1
  84  1.7285636e+01 3.32e-05 1.79e+01  -3.8 1.97e+00  -0.7 1.47e-01 1.33e-01h  1
  85  1.7250756e+01 3.75e-05 1.76e+01  -3.8 8.32e+00  -1.2 8.65e-03 1.27e-02h  1
  86  1.7236967e+01 3.92e-05 2.11e+01  -3.8 4.91e+00  -0.8 1.39e-03 5.65e-03h  1
  87  1.7213742e+01 3.94e-05 2.30e+01  -3.8 3.96e-01  -0.3 8.37e-02 8.89e-02h  1
  88  1.7175542e+01 5.00e-05 8.15e+01  -3.8 3.57e-01   0.1 4.58e-02 1.91e-01h  1
  89  1.7173148e+01 4.90e-05 8.23e+01  -3.8 5.18e-01  -0.4 2.37e-01 1.92e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.7087957e+01 7.01e-05 8.34e+01  -3.8 8.98e+00  -0.9 1.23e-02 4.06e-02h  1
  91  1.7017484e+01 6.01e-05 5.95e+01  -3.8 8.01e-01  -0.4 1.73e-01 2.82e-01h  1
  92  1.7017007e+01 5.99e-05 5.92e+01  -3.8 1.51e-01    -  4.55e-02 4.23e-03h  1
  93  1.6986001e+01 2.97e-05 3.69e+01  -3.8 1.68e-01    -  1.63e-02 5.18e-01h  1
  94  1.6975869e+01 2.95e-05 2.59e+01  -3.8 1.46e+00  -0.9 7.55e-02 1.74e-02h  1
