This is Ipopt version 3.14.14, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     3608
Number of nonzeros in inequality constraint Jacobian.:      140
Number of nonzeros in Lagrangian Hessian.............:     1680

Total number of variables............................:     1155
                     variables with only lower bounds:      560
                variables with lower and upper bounds:       35
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1120
Total number of inequality constraints...............:      140
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      140

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  6.0316552e+01 1.54e-04 1.12e+07  -1.0 9.98e+01    -  1.66e-03 5.47e-04h  3
  48  6.0351496e+01 1.54e-04 1.19e+07  -1.0 1.07e+02    -  7.25e-04 6.75e-05h  7
  49  6.0369266e+01 1.54e-04 1.27e+07  -1.0 1.10e+02    -  1.20e-03 3.19e-05h  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 6.0369266e+01 1.54e-04 1.00e+03  -1.0 0.00e+00    -  0.00e+00 4.61e-07R 14
  51r 6.5219632e+01 1.34e-04 3.46e+02  -1.0 1.12e-01    -  6.65e-01 8.15e-01f  1
  52  6.4507495e+01 1.44e-04 2.39e+02  -1.0 6.62e-01    -  1.22e-01 2.64e-02f  1
  53  6.2273244e+01 1.39e-04 2.39e+03  -1.0 8.19e+00    -  5.75e-01 5.38e-02f  1
  54  6.1442124e+01 1.59e-04 2.32e+04  -1.0 4.34e-01    -  4.39e-01 3.14e-01h  1
  55  6.2576317e+01 8.16e-05 4.16e+04  -1.0 7.46e-01    -  5.59e-01 4.09e-01h  1
  56  6.2818396e+01 8.27e-05 2.67e+05  -1.0 1.21e+00    -  2.64e-01 3.61e-02h  3
  57  6.3039535e+01 8.45e-05 3.14e+05  -1.0 1.32e+00    -  5.93e-02 1.59e-02h  4
  58  6.3332010e+01 8.63e-05 3.40e+05  -1.0 1.31e+00    -  4.12e-02 1.71e-02h  4
  59  6.3507938e+01 8.63e-05 4.26e+05  -1.0 1.54e+00    -  7.96e-02 9.20e-03h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  6.3794167e+01 8.63e-05 4.96e+05  -1.0 2.33e+00    -  7.21e-02 1.11e-02h  5
  61  6.4063217e+01 8.62e-05 5.89e+05  -1.0 2.16e+00    -  8.23e-02 1.09e-02h  5
  62  6.4354392e+01 8.61e-05 7.01e+05  -1.0 2.07e+00    -  8.06e-02 1.14e-02h  5
  63  6.4694942e+01 8.59e-05 7.87e+05  -1.0 1.54e+00    -  6.07e-02 1.12e-02h  5
  64  6.5081412e+01 8.57e-05 8.82e+05  -1.0 1.22e+00    -  6.67e-02 1.12e-02h  5
  65  6.5470477e+01 8.55e-05 9.63e+05  -1.0 1.32e+00    -  5.49e-02 1.14e-02h  5
  66  7.1700510e+01 1.08e-03 7.18e+05  -1.0 1.26e+00    -  1.58e-01 1.87e-01w  1
  67  7.1854480e+01 1.06e-03 3.73e+05  -1.0 6.10e-01    -  2.35e-01 2.30e-02w  1
  68  7.1687979e+01 9.98e-04 4.74e+05  -1.0 2.25e+00    -  4.84e-02 6.03e-02w  1
  69  6.5859854e+01 8.53e-05 1.28e+06  -1.0 1.43e+00    -  1.58e-01 1.17e-02h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  6.6223709e+01 8.52e-05 1.57e+06  -1.0 9.73e-01    -  8.90e-02 1.30e-02h  5
  71  6.6593673e+01 8.50e-05 2.11e+06  -1.0 1.04e+00    -  1.38e-01 1.31e-02h  5
  72  6.7001983e+01 8.47e-05 2.71e+06  -1.0 9.51e-01    -  1.18e-01 1.30e-02h  5
  73  6.7414228e+01 8.45e-05 3.64e+06  -1.0 8.03e-01    -  1.47e-01 1.59e-02h  4
  74  6.7735220e+01 8.41e-05 5.87e+06  -1.0 7.62e-01    -  2.61e-01 1.22e-02h  4
  75  6.8098378e+01 8.39e-05 8.82e+06  -1.0 9.13e-01    -  1.99e-01 1.70e-02h  4
  76  6.8571934e+01 8.41e-05 1.55e+07  -1.0 8.86e-01    -  3.24e-01 2.12e-02h  4
  77  6.8828971e+01 8.37e-05 2.18e+07  -1.0 9.00e-01    -  1.87e-01 1.30e-02h  5
  78  6.9115369e+01 8.32e-05 5.64e+07  -1.0 8.87e-01    -  6.76e-01 1.41e-02h  5
  79  7.3183585e+01 7.28e-04 5.02e+07  -1.0 1.03e+00    -  1.81e-01 2.30e-01w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  7.3331601e+01 7.09e-04 4.92e+07  -1.0 7.31e-01    -  1.33e-01 2.46e-02w  1
  81  7.3333506e+01 7.09e-04 1.01e+09  -1.0 4.86e+00    -  1.73e-01 4.04e-04w  1
  82  6.9369633e+01 8.27e-05 8.26e+07  -1.0 1.68e+01    -  1.81e-01 1.44e-02h  4
  83  6.9647556e+01 8.22e-05 2.53e+08  -1.0 8.74e-01    -  8.66e-01 1.48e-02h  5
  84  6.9903861e+01 8.15e-05 3.47e+08  -1.0 9.28e-01    -  1.56e-01 1.51e-02h  5
  85  7.0164790e+01 8.08e-05 1.11e+09  -1.0 7.64e-01    -  1.00e+00 1.47e-02h  5
  86  7.0408880e+01 8.01e-05 1.48e+09  -1.0 8.35e-01    -  1.44e-01 1.52e-02h  5
  87  7.0650695e+01 7.93e-05 3.46e+09  -1.0 7.66e-01    -  6.43e-01 1.49e-02h  5
  88  7.0879896e+01 7.84e-05 4.68e+09  -1.0 8.29e-01    -  1.65e-01 1.53e-02h  5
  89  7.1105126e+01 7.76e-05 1.39e+10  -1.0 9.14e-01    -  1.00e+00 1.52e-02h  5
