This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:    12728
Number of nonzeros in Lagrangian Hessian.............:     8800

Total number of variables............................:     3630
                     variables with only lower bounds:     1760
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3520
Total number of inequality constraints...............:      440
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      440

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.7889151e+01 3.80e-05 3.79e+01  -3.8 2.73e-01  -0.1 7.00e-01 7.50e-01h  1
  48  1.7801734e+01 1.10e-04 7.49e+00  -3.8 1.69e-01   0.4 7.89e-01 1.00e+00h  1
  49  1.7751500e+01 1.45e-05 1.86e+00  -3.8 6.87e-02   0.8 7.68e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.7694640e+01 5.20e-05 5.55e+00  -3.8 3.62e-01   0.3 3.71e-01 2.60e-01h  1
  51  1.7691483e+01 4.99e-05 1.80e+02  -3.8 8.57e-02   0.7 1.00e+00 4.24e-02h  1
  52  1.7662233e+01 1.64e-05 7.03e+01  -3.8 1.16e-01   0.2 1.00e+00 6.92e-01h  1
  53  1.7630896e+01 1.40e-05 1.10e+02  -3.8 2.96e-01  -0.2 1.24e-01 3.43e-01h  1
  54  1.7563224e+01 2.57e-04 2.56e+01  -3.8 3.56e-01   0.2 3.57e-01 6.91e-01h  1
  55  1.7516834e+01 1.74e-04 1.16e+01  -3.8 1.30e-01   0.6 8.33e-01 3.55e-01h  1
  56  1.7445475e+01 3.16e-05 1.43e+01  -3.8 1.81e-01   0.1 1.15e-01 1.00e+00h  1
  57  1.7430887e+01 2.73e-05 1.23e+02  -3.8 9.19e-02   0.6 8.36e-01 1.52e-01h  1
  58  1.7410505e+01 2.68e-05 1.17e+02  -3.8 2.19e-01   0.1 2.69e-01 2.34e-01h  1
  59  1.7381237e+01 2.69e-05 6.13e+00  -3.8 1.11e-01   0.5 1.00e+00 7.17e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.7309349e+01 1.22e-04 6.29e+01  -3.8 8.08e-01   0.0 1.22e-01 1.78e-01h  1
  61  1.7308619e+01 1.22e-04 6.41e+01  -3.8 2.19e+00  -0.4 4.42e-02 8.37e-04h  1
  62  1.7280373e+01 1.35e-04 6.22e+01  -3.8 4.10e+00  -0.0 3.05e-04 3.89e-02h  1
  63  1.7254601e+01 1.05e-04 6.68e+01  -3.8 1.67e-01   0.4 9.56e-01 2.29e-01h  1
  64  1.7234724e+01 1.00e-04 6.07e+01  -3.8 7.18e-01  -0.1 4.64e-02 4.93e-02h  1
